ID,Título do caso de teste,Etapas do teste,Dados do teste (corpo da solicitação),Resultado esperado,Resultado real,Status,Link para o relatório de bug
23,"Assumindo a validade dos outros campos, ao realizar uma entrega com:   (8 produtos)  temos: hostDeliveryCost é 3 - clientDeliveryCost é 0",1. Envie uma solicitação POST para /order-and-go/v1/delivery com dados validos,"{
    ""deliveryTime"": 9,
    ""productsCount"": 8,
    ""productsWeight"": 1
}",hostDeliveryCost é 3 - clientDeliveryCost é 0,hostDeliveryCost é 3 - clientDeliveryCost é 0,Aprovado,
24,"Assumindo a validade dos outros campos, ao realizar uma entrega com:   (9 produtos)  temos: hostDeliveryCost é 5 - clientDeliveryCost é 0",1. Envie uma solicitação POST para /order-and-go/v1/delivery com dados validos,"{
    ""deliveryTime"": 9,
    ""productsCount"": 9,
    ""productsWeight"": 1
}",hostDeliveryCost é 5 - clientDeliveryCost é 0,hostDeliveryCost é 5 - clientDeliveryCost é 0,Aprovado,
25,"Assumindo a validade dos outros campos, ao realizar uma entrega com:   (15 produtos)  temos: hostDeliveryCost é 5 - clientDeliveryCost é 0",1. Envie uma solicitação POST para /order-and-go/v1/delivery com dados validos,"{
    ""deliveryTime"": 9,
    ""productsCount"": 15,
    ""productsWeight"": 1
}",hostDeliveryCost é 5 - clientDeliveryCost é 0,hostDeliveryCost é 5 - clientDeliveryCost é 0,Aprovado,
26,"Assumindo a validade dos outros campos, ao realizar uma entrega com:   (16+ produtos)  temos: hostDeliveryCost é 5 - clientDeliveryCost é 9",1. Envie uma solicitação POST para /order-and-go/v1/delivery com dados validos,"{
    ""deliveryTime"": 9,
    ""productsCount"": 16,
    ""productsWeight"": 1
}",hostDeliveryCost é 5 - clientDeliveryCost é 9,hostDeliveryCost é 5 - clientDeliveryCost é 5,Reprovado,https://pauloborges091.atlassian.net/browse/TS4-8
27,"Assumindo a validade dos outros campos, ao realizar uma entrega com: (0 kg) temos: hostDeliveryCost é 3 - clientDeliveryCost é 0",1. Envie uma solicitação POST para /order-and-go/v1/delivery com dados validos,"{
    ""deliveryTime"": 9,
    ""productsCount"": 1,
    ""productsWeight"": 0
}",hostDeliveryCost é 3 - clientDeliveryCost é 0,hostDeliveryCost é 3 - clientDeliveryCost é 0,Aprovado,
28,"Assumindo a validade dos outros campos, ao realizar uma entrega com: (0.1 kg) temos: hostDeliveryCost é 3 - clientDeliveryCost é 0",1. Envie uma solicitação POST para /order-and-go/v1/delivery com dados validos,"{
    ""deliveryTime"": 9,
    ""productsCount"": 1,
    ""productsWeight"": 0.1
}",hostDeliveryCost é 3 - clientDeliveryCost é 0,hostDeliveryCost é 3 - clientDeliveryCost é 0,Aprovado,
29,"Assumindo a validade dos outros campos, ao realizar uma entrega com: (2.9 kg) temos: hostDeliveryCost é 3 - clientDeliveryCost é 0",1. Envie uma solicitação POST para /order-and-go/v1/delivery com dados validos,"{
    ""deliveryTime"": 9,
    ""productsCount"": 1,
    ""productsWeight"": 2.9
}",hostDeliveryCost é 3 - clientDeliveryCost é 0,hostDeliveryCost é 3 - clientDeliveryCost é 0,Aprovado,
30,"Assumindo a validade dos outros campos, ao realizar uma entrega com: (3 kg) temos: hostDeliveryCost é 3 - clientDeliveryCost é 0",1. Envie uma solicitação POST para /order-and-go/v1/delivery com dados validos,"{
    ""deliveryTime"": 9,
    ""productsCount"": 1,
    ""productsWeight"": 3
}",hostDeliveryCost é 3 - clientDeliveryCost é 0,hostDeliveryCost é 3 - clientDeliveryCost é 0,Aprovado,
31,"Assumindo a validade dos outros campos, ao realizar uma entrega com: (3.1 kg) temos: hostDeliveryCost é 5 - clientDeliveryCost é 0",1. Envie uma solicitação POST para /order-and-go/v1/delivery com dados validos,"{
    ""deliveryTime"": 9,
    ""productsCount"": 1,
    ""productsWeight"": 3.1
}",hostDeliveryCost é 5 - clientDeliveryCost é 0,hostDeliveryCost é 3 - clientDeliveryCost é 0,Reprovado,https://pauloborges091.atlassian.net/browse/TS4-9
32,"Assumindo a validade dos outros campos, ao realizar uma entrega com: (5.9 kg) temos: hostDeliveryCost é 5 - clientDeliveryCost é 0",1. Envie uma solicitação POST para /order-and-go/v1/delivery com dados validos,"{
    ""deliveryTime"": 9,
    ""productsCount"": 1,
    ""productsWeight"": 5
}",hostDeliveryCost é 5 - clientDeliveryCost é 0,hostDeliveryCost é 5 - clientDeliveryCost é 0,Aprovado,
33,"Assumindo a validade dos outros campos, ao realizar uma entrega com: (6 kg) temos: hostDeliveryCost é 5 - clientDeliveryCost é 0",1. Envie uma solicitação POST para /order-and-go/v1/delivery com dados validos,"{
    ""deliveryTime"": 9,
    ""productsCount"": 1,
    ""productsWeight"": 6
}",hostDeliveryCost é 5 - clientDeliveryCost é 0,hostDeliveryCost é 5 - clientDeliveryCost é 0,Aprovado,
34,"Assumindo a validade dos outros campos, ao realizar uma entrega com: (6.1+ kg) temos: hostDeliveryCost é 5 - clientDeliveryCost é 9",1. Envie uma solicitação POST para /order-and-go/v1/delivery com dados validos,"{
    ""deliveryTime"": 9,
    ""productsCount"": 1,
    ""productsWeight"": 7
}",hostDeliveryCost é 5 - clientDeliveryCost é 9,hostDeliveryCost é 5 - clientDeliveryCost é 5,Reprovado,https://pauloborges091.atlassian.net/browse/TS4-10
